,id,track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
18723,18723,1KDsONFxp3YtnJTaLeWFIi,Layla,Derek & The Dominos,43,28Cz12vvLOxYkqzXNwAbnl,Complete Clapton,10/9/2007,Southern Rock/Classic Rock,0QUlq0LMDVXSBtbyYLTyZh,rock,classic rock,0.405,0.799,5,-6.615,1,0.0635,0.513,0.375,0.221,0.274,113.991,428387
6286,6286,6gZQ5bj2GHJj7sndCgx5ke,Wu Tang Remix,China Mac,50,4Uu5QhxhxFdjdASWUqlz72,Wu Tang Remix,1/3/2020,Top Urban Underground,4Gc9TFxlqmoe50m9Yy78ei,r&b,urban contemporary,0.76,0.838,11,-2.236,0,0.263,0.313,0.0,0.347,0.776,96.036,141451
20971,20971,0IEvbpIyDb26zwhnFGzuLb,Somethin Serious,Big Mike,22,3huqsj2zWgtPUyktVpiKTz,Somethin' Serious,1994,Southern Hip Hop,3R5c1OfJY7Rzl3p28pzGtL,rap,southern hip hop,0.877,0.694,6,-10.506,1,0.18,0.132,1.03e-05,0.0742,0.771,97.92,225600
17599,17599,6kK2YbF8boQl32Lqkai3Ca,All Night,Parov Stelar,56,4TEZiXCLTfPn5KJFrQgl7k,The Art Of Sampling (Deluxe Version),1/1/2013,Electro Swing,3Dr4NKbsFQ2m7tmPxGRroO,edm,electro house,0.797,0.618,7,-7.672,0,0.0429,0.107,0.845,0.243,0.826,125.02,166400
13799,13799,1VAFud1nSkqa7efJBxONAz,WATCH ME,Night Lovell,49,4sA7IyvdIFpeOPBftpjetk,GOODNIGHT LOVELL,2/22/2019,Gangsta Rap 💎 Rap Party,0BwUQpqHSlC2YfKwOp2dQV,rap,gangster rap,0.879,0.591,1,-6.194,1,0.149,0.431,0.118,0.123,0.0748,134.99,142222
7,7,1unvk9w2ikBIxcluIwPEvT,Goliath,Dyro,39,2FxN4LTroUxE9Yw3lAadi4,Goliath,7/19/2019,Electro House,6k45gxiQhfVqACfIdqONsC,edm,electro house,0.543,0.823,11,-6.076,0,0.0853,0.000428,0.849,0.0939,0.123,127.952,170630
348,348,0k1hbeZodoEw34FAdbh8xM,Brujeria,El Gran Combo De Puerto Rico,55,18m4lag970uk1AMSvaUZmg,Aqui No Se Sienta Nadie!,1979,Fiesta Latina Mix 🎈🎉💃🏻🕺🏻☀️🏖,2kY6lVc5EcVfI5WNKmPQQG,latin,latin pop,0.795,0.623,7,-5.375,1,0.0461,0.565,1.09e-05,0.062,0.96,93.03,205813
25545,25545,4jEB3KAsjmNSQGQmQk4Ii8,I Lived - Arty Remix,OneRepublic,45,4jlLf3P3xVy2HAigBVtrby,I Lived (Arty Remix),9/23/2014,2011-2014 House,53Ga3Xt9fumdJfhNNSBvzU,edm,progressive electro house,0.413,0.816,9,-4.085,1,0.0483,0.236,0.0,0.0792,0.0997,128.098,267427
21410,21410,5a6cGfEIJ9nmgBuXRdb57w,My Pride,Algebra Blessett,0,1iKFGmKKlPt5ci4KShM2gR,PURPOSE,2/26/2008,Neo Soul,2YPP7fiYu5pIcp2yyHvw4A,r&b,neo soul,0.463,0.713,4,-6.927,0,0.0937,0.00896,0.0,0.216,0.376,173.688,212627
17089,17089,7tbyiwnLhtKYXNMjCZ60BT,Intro,Quality Control,59,1y1l71S4ZveVZQRuqcZk0u,Intro,8/1/2019,Hip Hop Controller,37i9dQZF1DWT5MrZnPU1zD,rap,hip hop,0.88,0.569,2,-5.497,1,0.274,0.141,0.0,0.673,0.141,137.024,215345
19185,19185,3dTmgecC7MCMbteWjf8Ls7,Can't Get Over You,KVSH,69,5McVvbere3ujsgUgEp5gGR,Can't Get Over You,7/12/2019,Electropop,2Z5cPJ6Z4EVZAfF08amjvL,pop,electropop,0.714,0.795,9,-4.621,0,0.0354,0.013,2.33e-05,0.0917,0.347,123.002,142439
15461,15461,4QkibOQBBrpdsCgZBpSlgQ,Per Un Milione,Boomdabash,61,2hMifnfGsH7W1cPNR8G8sH,Per Un Milione,2/6/2019,Musica Italiana 2020 - Playlist Pop & Hip-Hop (Canzoni Italiane 2020),6kVFIQBhLT4003iw2WWEv1,r&b,hip pop,0.741,0.744,7,-4.099,0,0.0472,0.103,0.0,0.0852,0.898,85.987,174616
15288,15288,2D5Fi0jgFCo2kWJ84wAxWb,Ring The Alarm,Nicky Romero,57,18EY8ioAkIjG0n5K6mP0tq,Ring The Alarm,2/15/2019,Big Room 2019,6SrHyxIxWfQx9ISEr6yowk,edm,big room,0.568,0.968,7,-3.772,1,0.109,0.0004,0.397,0.0954,0.313,125.998,170495
15197,15197,7ESboJkv8dqKx501qftMkG,Hurry Up,Annie Lux,33,6pqoWUr7n02JwoDinwuRN0,Hurry Up,11/16/2018,Indie Poptimism,21nxmipQe5xtXoHHPaYfnY,pop,indie poptimism,0.757,0.587,2,-7.832,1,0.0685,0.604,3.04e-05,0.0935,0.657,119.695,180886
23596,23596,67dyMPOUsbZ9Yg06PnfAAh,Draco,Future,9,4YtTX4GPvBvewbJvBfXCS2,FUTURE,8/4/2017,"🔥💵 Hip Hop, Rap, Heavy 808's - New School",3jPkaExIWXQWklcmmF5180,rap,southern hip hop,0.804,0.456,8,-7.44,1,0.0468,0.000668,0.0,0.31,0.165,130.014,225135
3156,3156,2rwmKpWW6o6anOhvcyiJOw,Nothin' But The Cavi Hit,Mack 10,53,2esSqztHIhZfXup4PihEoD,Best Of Mack 10,1/1/2007,Southern California Hip Hop Primer,206vi9Q0p3juAU73flxPsz,rap,southern hip hop,0.852,0.741,1,-5.435,0,0.135,0.0247,0.00106,0.0974,0.534,97.894,241360
4442,4442,0eJzykWzPq1TW7hrvMxKc9,I Made It (feat. Trick Trick),D12,38,6RZY9I5gDYHRfYZ31EJkRX,I Made It (feat. Trick Trick) - Single,4/4/2011,Gangsta Rap/90's Hip-Hop,39IFMVQdRNdb7kVfyTvHjM,rap,gangster rap,0.665,0.658,4,-8.1,0,0.279,0.00509,0.0,0.0935,0.426,90.018,321203
8181,8181,6CWbF5O3DuLExK7M60TmmJ,Disco Eterno,Soda Stereo,0,3bG1GHeybqiNtO96c85rS7,El Ultimo Concierto B,12/16/1997,Soda Stereo – El Ultimo Concierto,3opIxv3Y5GmXDNpbLFZxIm,rock,album rock,0.481,0.755,0,-10.434,1,0.0363,0.0117,0.546,0.99,0.356,150.143,455933
13439,13439,7u90MSvVyEjL0c8icaE7jl,Contra,Logic,61,4F87p1aiFwHeU4uu65MaPV,Bobby Tarantino II,3/9/2018,This Is Logic,37i9dQZF1DWTIuAboZgTMf,rap,hip hop,0.804,0.823,8,-5.837,1,0.0488,0.104,0.0,0.2,0.616,126.007,217147
8121,8121,6rO7Ljvkmj4ESCIcGEsVdT,Rabbit Hole,CamelPhat,68,0wbVjt576xO0PkrlKMhEq3,Rabbit Hole,11/8/2019,Dancefloor Beats,6mMk6QCzEgT3QGaCV1R4S5,edm,big room,0.603,0.865,9,-6.913,1,0.034,0.00991,0.0227,0.203,0.287,123.987,189498
21861,21861,35IvqtoxYL3H9qB3hSQUES,Nights (feat. Ralph Larenzo),Axollo,14,71v2qoMKmRuzI7jlIUKgr0,HELDEEP Vibes Pt. 3 - EP,3/23/2018,Female Vocal EDM,5QaPRbVgbEcCc9jC1UxgD1,edm,progressive electro house,0.701,0.625,8,-4.825,1,0.0573,0.405,0.0,0.0936,0.348,117.966,266568
22677,22677,2MaLYAd1Uy8284d47Aj6cz,Rob A Bank,Confetti,54,7ja2GeQqsAkyF683R5MkTU,Rob A Bank,9/6/2019,Electropop,2Z5cPJ6Z4EVZAfF08amjvL,pop,electropop,0.652,0.81,4,-4.05,1,0.285,0.00689,0.0,0.106,0.541,76.026,173684
21663,21663,6JaSEE70ylKNF9ogke82RJ,Before Dark,Such,26,0OAArMx1cirm7pTT9qaQ7j,Before Dark,1/18/2019,Neo-Soul Essentials,0DIwi1dMI59NItQtiNcevy,r&b,neo soul,0.5,0.375,10,-11.341,0,0.126,0.843,0.000261,0.0977,0.291,75.383,252860
6738,6738,7tsRp7QKUBp6hc9bth0h7x,Don't Walk Away,Jade,61,2EwwOSHl7oOX1vyjQBx4Zc,Jade To The Max,11/13/1992,New Jack Swing,3ykXidKLz1eYPvuGoFlD1e,r&b,new jack swing,0.831,0.915,10,-7.501,0,0.128,0.147,0.00571,0.196,0.881,102.979,216373
9824,9824,6RUKPb4LETWmmr3iAEQktW,Something Just Like This,The Chainsmokers,83,4JPguzRps3kuWDD5GS6oXr,Memories...Do Not Open,4/7/2017,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,247160
2305,2305,0rX7mbNXYmAolFCY2TYVPH,Como un lobo (Dueto 2007),Miguel Bosé,55,7l8TCr6788hFRYFPk5QWq5,Papito (Deluxe),2007,ELECTROPOP EN ESPAÑOL,3VfscqF7zq65IGKiYM3FS0,pop,electropop,0.573,0.887,9,-5.844,1,0.0356,0.0266,4.15e-06,0.0911,0.764,159.937,211973
18888,18888,77eLBhhdkYwEOptOKfkXlh,¿Cuánto E$?,Jhay Cortez,51,1V9QpD8kjA2iHCElhFGvlo,Famouz,5/24/2019,Todo Reggaeton,4csIMGPI3aGo3Xy7WG8jBi,latin,reggaeton,0.597,0.553,6,-8.221,0,0.307,0.138,0.0,0.181,0.598,83.376,187773
20020,20020,4hPpVbbakQNv8YTHYaOJP4,One Thing Right,Marshmello,85,4QAC6FquY8D0RXom13iE5J,One Thing Right,6/21/2019,Pop / Dance,6mXh8CUBMBsBUu88a4eAQV,pop,dance pop,0.659,0.623,4,-2.253,1,0.0451,0.0667,0.0,0.582,0.439,88.042,181824
25635,25635,4VzCNmuj3f8RtWpSKFZiLp,Who Shot Ya? - 2005 Remaster,The Notorious B.I.G.,47,7zg9ZSOQtYLjWnvSawflg6,Born Again,1999,Gangsta Rap/90's Hip-Hop,39IFMVQdRNdb7kVfyTvHjM,rap,gangster rap,0.845,0.744,7,-4.886,1,0.277,0.194,0.0,0.549,0.645,91.693,228040
2667,2667,5e6x5YRnMJIKvYpZxLqdpH,Fortunate Son,Creedence Clearwater Revival,16,4A8gFwqd9jTtnsNwUu3OQx,The Long Road Home - The Ultimate John Fogerty / Creedence Collection,12/14/2005,Rock Classics,37i9dQZF1DWXRqgorJj26U,rock,classic rock,0.636,0.746,0,-3.785,1,0.0393,0.0648,0.29,0.173,0.432,132.31,138053
6757,6757,0j05vXv8kjUAg0rlhTvXCJ,Jundo,Ekali,45,4E59piwKCy4wEYt1RTTiz2,Jundo,4/12/2019,Trap Mojito,37i9dQZF1DX1OIMC8iDi74,rap,trap,0.566,0.964,11,-4.41,0,0.0793,0.00306,0.837,0.271,0.202,150.003,176000
10113,10113,2xpoTj7AeSFVuvD0ibD3Pg,No Tellin',Drake,1,2bfWH730j0HtAJrNcg1LuP,If You're Reading This It's Too Late,2/12/2015,Urban/Trap - Contemporary RAP,5CK0fshHcik1vWyeCc0zat,r&b,urban contemporary,0.823,0.467,0,-10.394,0,0.301,0.543,0.0,0.135,0.618,95.024,310933
13599,13599,3XAFrOZbJYdMaHGP4qutqs,Some,Steve Lacy,51,47DbvIExnHbqAhIuzBAO9W,Steve Lacy's Demo,2/24/2017,NEO-soul,3q3M4VCymcMoxJ3Tl7mRqN,r&b,neo soul,0.51,0.666,4,-7.474,0,0.0638,0.0248,0.058,0.0758,0.106,103.584,180696
12271,12271,3DjInVTE03icrWsq2UZV9n,Recuerdo,TINI,72,28RBKKab2bzmcaKzW8h3Ji,Recuerdo,1/10/2020,Latin Pop Rising,37i9dQZF1DX8womvTyUjrN,latin,latin pop,0.797,0.639,1,-4.317,1,0.387,0.114,0.0,0.0589,0.677,175.94,200961
6677,6677,4ClBrZH9GuZcE7BpPnurbT,Ride It,Jay Sean,51,3v0AeWgJPrdPPZGt1tS2s0,All Or Nothing,1/1/2009,Pop 2009-2011,3gV6KQYZKIuoWml0094vx6,latin,latin hip hop,0.712,0.573,11,-5.803,0,0.15,0.291,0.0,0.403,0.771,92.974,180787
7900,7900,4sAHukt0TkE08mpMNgNwcp,I Got Cha Opin,Black Moon,36,6WqXR9PUGCCQe26QDL5gY3,Enta da Stage,1993,90's Hip Hop Ultimate Collection,4IG024zoaGMurhTFBkMAv9,rap,southern hip hop,0.726,0.398,4,-12.767,0,0.241,0.213,0.155,0.127,0.536,91.599,255200
25887,25887,2P91MQbaiQOfbiz9VqhqKQ,I Like Me Better,Lauv,79,7lqieLm717j9Z8JrG7POkS,I met you when I was 18. (the playlist),5/31/2018,Hip Pop 2019,3tmx4p5RGlOV1AapXOt1Ze,r&b,hip pop,0.752,0.505,9,-7.621,1,0.253,0.535,2.55e-06,0.104,0.419,91.97,197437
1914,1914,0SfCG1utWyG5qWZE0feV6S,Eins Zwei,Ummet Ozcan,58,4kDACRZ2N75z5MTHjlRMs4,Eins Zwei,3/4/2019,Big Room 2019,6SrHyxIxWfQx9ISEr6yowk,edm,big room,0.639,0.939,9,-2.026,1,0.0578,0.0129,0.396,0.693,0.133,137.982,191744
13437,13437,3anO2IahAOsmsz9p4Mb8aR,Remedy,Seether,0,7GZMAUrHGpxd6S7LgAreQw,Karma & Effect,5/24/2005,Hard Rock Workout,3YouF0u7waJnolytf9JCXf,rock,hard rock,0.548,0.953,8,-4.688,1,0.0934,0.000189,0.00288,0.0432,0.448,127.826,207213
23830,23830,6dX62wjTHi9F1srVTjV89X,8 Letters - R3HAB Remix,Why Don't We,2,1Wb0Ne9QaY136uNR6x0ObE,8 Letters (R3HAB Remix),9/28/2018,Cardio,37i9dQZF1DWSJHnPb1f0X3,pop,dance pop,0.638,0.708,1,-5.001,0,0.0421,0.24,0.0,0.311,0.582,103.16,132233
15999,15999,23IWhAK0cYRwnBT5EE8i3u,Don't give up on us,David Soul,60,3bK8cxPBLUFkeBeoqzoWtx,David Soul,1/1/1976,70s Pop & Rock Hits and Deep Tracks,1uKFRCQYci8kVgMy3xzTVH,rock,album rock,0.256,0.335,9,-13.588,1,0.0313,0.74,0.0166,0.0857,0.415,198.745,218947
17855,17855,74ZQQZAVOrd5sENv57jfCj,Straight Up,Chanté Moore,41,2Y8xp5J3cx3TNJV5Bopq6g,Exposed,1/1/2000,The Sound of Urban Contemporary,07zF8MjQPsiYUXiAIGZ5TA,r&b,urban contemporary,0.864,0.869,1,-3.602,1,0.129,0.255,0.000134,0.0469,0.93,100.011,220200
9768,9768,0u695M7KyzXaPIjpEbxOkB,SICKO MODE - Skrillex Remix,Travis Scott,66,6TcKoifNw4hO5Nyl3pgwAa,SICKO MODE (Skrillex Remix),11/28/2018,RAP Gangsta,1Z1gW89x4MSBjkvVjGg7DQ,rap,gangster rap,0.651,0.833,1,-3.356,1,0.172,0.0214,0.0,0.14,0.443,155.051,304512
7901,7901,3o7TK4inMYzJC3ZMJCWsRC,Boomshakalaka - Dimitri Vegas & Like Mike vs. Afro Bros Radio Mix,Dimitri Vegas & Like Mike,71,6PuMvgkZDwaIuspIyt0jnU,Boomshakalaka (Dimitri Vegas & Like Mike vs. Afro Bros Radio Mix),11/29/2019,Baila Reggaeton,37i9dQZF1DWY7IeIP1cdjF,latin,reggaeton,0.752,0.82,1,-2.976,1,0.0461,0.0134,0.000804,0.0692,0.822,95.987,211520
998,998,5p7ujcrUXASCNwRaWNHR1C,Without Me,Halsey,88,0zzrCTzvL4ZmR42xF46Afm,Without Me,10/4/2018,Hip pop,1Sc7bobknESH7SXQcnmoX5,r&b,hip pop,0.752,0.488,6,-7.05,1,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,201661
4149,4149,336ZYcU6poBWi3s8yzRcAD,I Follow Rivers,Lykke Li,62,43uf0nTu6b5ReBCoQkLtsF,Wounded Rhymes,2011,Ultimate Indie Presents... Best Indie Tracks of the 2010s,37i9dQZF1DWTHM4kX49UKs,r&b,hip pop,0.599,0.533,9,-14.032,0,0.0472,0.475,0.00153,0.235,0.607,122.262,228467
22759,22759,4yUhACElYLP2cbCyuDuaEk,Know How - Báhkin Remix,Equalisation,17,5ueTbHDhULtHVKw18Nkedh,Know How (Báhkin Remix),1/10/2020,Waves Pop and EDM,64k01l4j6QtnZ8jMaI84AA,edm,pop edm,0.734,0.764,7,-10.694,1,0.0577,0.0512,0.948,0.121,0.12,113.998,188076
18151,18151,2x0supcZhd6NEH1nem9DnR,The Night They Drove Old Dixie Down - Remastered 2000,The Band,63,0nPrnmv6maJLLaPpy1cWGB,The Band (Expanded Edition),9/22/1969,Southern Rock/Classic Rock,0QUlq0LMDVXSBtbyYLTyZh,rock,classic rock,0.508,0.493,0,-8.786,1,0.0327,0.453,0.0,0.241,0.467,127.671,213267
16503,16503,5T4nI7b8EBszzxI1Ff9Eau,Ho Wit It,Xcellence!,35,6ksSX94Q2tpb7S608lNQZL,Ho Wit It,9/26/2019,Great Pops,5SO7xYih5w8X5FEpKvU7Rt,latin,latin pop,0.883,0.775,9,-4.508,0,0.298,0.0878,0.0,0.615,0.697,128.006,150000
18669,18669,44XBLYMVEt5vJcb5qXfQ7V,Alejandro,Lady Gaga,8,67j3NJodNRI8USUwKwTZA6,The Fame Monster (International Deluxe),1/1/2009,BALLARE - رقص,1CMvQ4Yr5DlYvYzI0Vc2UE,pop,post-teen pop,0.626,0.799,11,-6.612,0,0.046,0.000358,0.00155,0.36,0.369,98.992,274213
11407,11407,5tqSUxm3Wpql0dlLMrIAp1,Shadow Of Your Love,Guns N' Roses,58,6AK5hiec0u0guq19bKlSMm,Shadow Of Your Love,5/4/2018,This Is Guns N' Roses,37i9dQZF1DX74DnfGTwugU,rock,album rock,0.416,0.995,10,-5.376,0,0.119,0.000164,0.0902,0.34,0.33,112.014,185573
9138,9138,3vm3BWDZaoFwvDWRnGTaZB,Take It All the Way,Xavier White,39,0shjwfUibwZg9yKHQgilBQ,Take It All the Way,11/22/2019,Techno House 2020 👽 Best Collection 👻 Top DJ’s Electronic Music - Deep House - Trance - Tech House - Dance - Electro Pop,3QEYvCsVXZj8KuzE0bDmcI,edm,electro house,0.721,0.712,1,-8.103,1,0.164,0.0558,0.0,0.132,0.606,108.08,186667
9129,9129,48p5E25cFPanxuwCTmTpuL,The Promise,When In Rome,63,3kt903x5U5IWJlwHyE481x,When In Rome,1/1/1988,80's Freestyle/Disco Dance Party (Set Crossfade to 4-Seconds),1oReEujyWpQv2OX68BVPPA,latin,latin hip hop,0.629,0.876,0,-10.141,1,0.0444,0.0864,7.72e-05,0.0431,0.358,118.01,220960
8280,8280,7qCMKzInsoamLYfFMyVkHp,Contigo Quiero Estar,Mark Cast,47,2IgBjUFJmei5HeVNxAye0b,Contigo Quiero Estar,10/25/2019,Latin Pop VIP,37i9dQZF1DX1QnNyJOBQBv,latin,latin pop,0.611,0.672,7,-8.793,0,0.101,0.0156,5.66e-06,0.125,0.388,104.805,168000
11039,11039,6elUdvgtbNi1LrD3jPLKpe,One Shot,Hansie,44,5ZzCTm2oxNZdW6bMWCKtmV,One Shot,1/17/2020,🔥🦁 GOOD VIBES ONLY 🦁🔥 // BROEDERLIEFDE || FRENNA || BROEDERS || HENKIE T  || BIZZEY || POKE \\,1d0fonZHpN4LYHTKbmNRbm,latin,latin hip hop,0.638,0.757,6,-5.166,0,0.0816,0.287,0.000338,0.109,0.737,177.938,162731
9716,9716,7mvRBXq6hV0PpBZeyjjDPy,Granular,Spieltape,31,0XQ8IM2Rye1ODNPJ93AepE,Space Chants,9/27/2019,Techno House 2020 👽 Best Collection 👻 Top DJ’s Electronic Music - Deep House - Trance - Tech House - Dance - Electro Pop,3QEYvCsVXZj8KuzE0bDmcI,edm,electro house,0.82,0.565,4,-8.123,0,0.177,0.0194,0.827,0.123,0.702,123.013,366829
7692,7692,6VoIBz0VhCyz7OdEoRYDiA,Say It Ain't So,Weezer,73,1xpGyKyV26uPstk1Elgp9Q,Weezer,5/10/1994,Permanent Wave,2ExyzXAbukW7I8bDqdGvPB,rock,permanent wave,0.634,0.551,3,-7.136,1,0.0352,0.00737,1.82e-05,0.07,0.453,151.779,258827
4842,4842,11HLyzoCyx8hXKXVmrg1Sy,Wishful Thinking,China Crisis,53,1mWJIJbT09FgNhOr4xiPoL,Diary: A Collection,1/1/1992,Permanent Wave CHDB,2foj4ZYVHRGqSd1aMqNPBj,rock,permanent wave,0.67,0.512,7,-14.62,1,0.0335,7.93e-05,0.0985,0.105,0.965,125.18,250707
1119,1119,2u3EyuCqqV31woqGvO9LBz,Sum 2 Prove,Lil Baby,81,7KPtAktRGrVjy0QV3MXnZk,Sum 2 Prove,1/10/2020,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,rap,hip hop,0.823,0.552,4,-7.57,0,0.324,0.0174,0.0,0.122,0.418,124.038,205760
22076,22076,5F5qG3G8QKNKENzvQ9IVWO,Te Me Fuiste,César Avila,28,0MhZ9o3dyDmWkxqQ6IXZZ0,Te Me Fuiste,11/8/2019,Paraíso Tropical,2v41efarffe6iY8qpMK5Gj,latin,tropical,0.531,0.622,9,-6.573,1,0.0385,0.561,0.0,0.176,0.589,103.036,201720
22952,22952,5CXdKtyCJ3L6iyexETMdaW,Fire,Saravah Soul,5,2mB951rZswhDEvyP8t9TLW,Cultura Impura,7/5/2010,Permanent Wave,5Go0Jsxj1UnsU7Om841BEo,rock,permanent wave,0.523,0.754,2,-6.408,1,0.206,0.18,1.59e-05,0.342,0.744,169.29,215400
3109,3109,1w3Q0fhdINUxWbmQX0mg1x,Static Theory,Wax Motif,46,4duG74Chf8fWkKryVGLLwI,Static Theory,1/16/2019,Nasty Bits,37i9dQZF1DX2VvACCrgjrt,edm,electro house,0.755,0.83,8,-6.34,0,0.124,0.104,0.66,0.0872,0.74,128.052,210267
16314,16314,1IBKePjbIXAkXiSvT2E4LQ,Need You,FTampa,13,1O1J74cKYpkMsNRS9hXBH7,Need You,4/1/2016,Jeff Seid Electro House,2Tisn6NZbeofpc57Oc6MGo,edm,electro house,0.636,0.833,8,-4.504,0,0.0452,0.625,0.0066,0.14,0.817,127.991,212509
25151,25151,2Dl4B2t2dysNepXKRaiWVh,Girlfriend (feat. G-Eazy),T-Pain,62,4UUPCVMfRygX8QIFiLti6F,Girlfriend (feat. G-Eazy),8/6/2019,Hip-Hop Favourites,37i9dQZF1DX48TTZL62Yht,rap,hip hop,0.83,0.652,1,-5.628,1,0.0475,0.000987,0.0,0.137,0.336,100.005,190868
15130,15130,2jsbLRAHKu0FCZcbySednM,Futari No Natsu Monogatari Never Ending Summer,オメガトライブ,35,1ZluSoV6IVEiQxEfrnIYBB,Another Summer,7/1/1985,City Pop 1985 シティーポップ,3j2osvmecEao5nmo9jZ5df,rock,album rock,0.602,0.851,5,-4.566,1,0.0443,0.353,5.83e-06,0.104,0.709,156.796,238467
12274,12274,3fqwjXwUGN6vbzIwvyFMhx,Tennessee Whiskey,Chris Stapleton,77,7lxHnls3yQNl8B9bILmHj7,Traveller,5/4/2015,Sexy Soul 2020,5EMARioe9z9eKOeWIAC2JW,r&b,neo soul,0.392,0.37,9,-10.888,1,0.0298,0.205,0.0096,0.0821,0.512,48.718,293293
6816,6816,6C4LXC9UFH1IKiHYOp0BiJ,Sunday Bloody Sunday - Remastered 2008,U2,72,6GaqU0TlYBKHUiSJ0AT9A2,War (Remastered),2/28/1983,Classic Rock Retrogamer,6gUFdcGzKAHyDXY9TKC6cP,rock,classic rock,0.543,0.944,6,-7.495,1,0.0543,0.402,0.000564,0.0373,0.735,101.174,279440
9075,9075,2KMXGcEw6Ub853iURlha9f,Relentless (Young & Free Remix),Hillsong Young & Free,0,6xiRJSbV1ADMXwIuRtBsYK,The White Album [Remix Project],3/4/2014,CHRISTIAN ELECTRO / DANCE / EDM,0MhTMIo1bgH6zzPh7BdChT,edm,progressive electro house,0.494,0.722,11,-7.479,0,0.0339,0.00319,0.0466,0.0945,0.364,130.011,245280
